               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12446,            0.016478,              0.0321,           0.0013043,             0.30103,           0.0019031,          0.00044522,             0.11106,            0.013822,            0.018158,               0.073,               0.003,               0.003
                   1,             0.09396,            0.018471,            0.013406,             0.85573,             0.11791,             0.10783,            0.034265,             0.08066,             0.01807,            0.012738,            0.044496,           0.0054961,           0.0054961
                   2,             0.08235,            0.017086,            0.011097,             0.84375,              0.1083,              0.1533,            0.036318,            0.098716,            0.010962,           0.0085102,            0.015378,           0.0073784,           0.0073784
                   3,            0.072058,            0.016811,           0.0081522,             0.35841,             0.62072,              0.4308,             0.16552,            0.081234,            0.012221,           0.0068712,             0.00703,             0.00703,             0.00703
                   4,            0.066053,             0.01632,           0.0069903,             0.68639,             0.62096,              0.6181,             0.30839,            0.059753,            0.012034,           0.0050989,             0.00703,             0.00703,             0.00703
                   5,            0.057463,            0.015813,           0.0063226,             0.55894,             0.55316,             0.62695,             0.23367,            0.050195,            0.011447,           0.0045771,             0.00604,             0.00604,             0.00604
                   6,             0.05156,            0.014781,           0.0046064,              0.5179,             0.62714,             0.60949,             0.28756,            0.044992,             0.01085,            0.004014,             0.00505,             0.00505,             0.00505
                   7,            0.046704,            0.014086,           0.0041221,             0.76957,             0.66532,             0.74838,             0.38713,            0.042089,           0.0098127,           0.0032752,             0.00406,             0.00406,             0.00406
                   8,            0.042481,            0.013393,           0.0035576,             0.87205,             0.67108,              0.8025,             0.46033,            0.037315,           0.0093997,            0.003113,             0.00307,             0.00307,             0.00307
                   9,            0.038655,            0.012672,            0.002999,             0.76075,             0.85184,             0.83255,             0.49209,            0.035982,           0.0091168,           0.0028808,             0.00208,             0.00208,             0.00208
